country,cases,death,region
 Saint Martin ," 12,324 ", 63 , North America 
 Vanuatu ," 12,019 ", 14 , Australia/Oceania 
 Greenland ," 11,971 ", 21 , North America 
 Yemen ," 11,945 "," 2,159 ", Asia 
 Caribbean Netherlands ," 11,682 ", 38 , North America 
 Sint Maarten ," 11,051 ", 92 , North America 
 Eritrea ," 10,189 ", 103 , Africa 
 Niger ," 9,931 ", 312 , Africa 
 St. Vincent &amp; Grenadines ," 9,674 ", 124 , North America 
 Guinea-Bissau ," 9,614 ", 177 , Africa 
 Comoros ," 9,109 ", 161 , Africa 
 Antigua and Barbuda ," 9,106 ", 146 , North America 
 Liberia ," 8,090 ", 295 , Africa 
 Sierra Leone ," 7,779 ", 126 , Africa 
 Chad ," 7,701 ", 194 , Africa 
 British Virgin Islands ," 7,392 ", 64 , North America 
 Cook Islands ," 7,203 ", 2 , Australia/Oceania 
 Sao Tome &amp; Principe ," 6,778 ", 80 , Africa 
 Turks and Caicos ," 6,752 ", 40 , North America 
 Saint Kitts &amp; Nevis ," 6,607 ", 48 , North America 
 Palau ," 6,290 ", 10 , Australia/Oceania 
 Saint Barthelemy ," 5,507 ", 6 , North America 
 Nauru ," 5,393 ", 1 , Australia/Oceania 
 Kiribati ," 5,085 ", 24 , Australia/Oceania 
 Anguilla ," 3,904 ", 12 , North America 
 Wallis &amp; Futuna ," 3,550 ", 8 , Australia/Oceania 
 Saint Pierre &amp; Miquelon ," 3,452 ", 2 , North America 
 Tuvalu ," 2,943 ", 1 , Australia/Oceania 
 Saint Helena ," 2,166 ", 0 , Africa 
 Falkland Islands ," 1,930 ", 0 , South America 
 Montserrat ," 1,403 ", 8 , North America 
 Niue ," 1,059 ", 0 , Australia/Oceania 
 Tokelau , 80 , 0 , Australia/Oceania 
 Holy See , 29 , 0 , Europe 
 Western Sahara , 10 , 1 , Africa 
 MS Zaandam , 9 , 2 ,  
