country,cases,death,region,moralityrate
 Central African Republic ,15440,113, Africa ,13663.716814159292
 Gambia ,12626,372, Africa ,3394.0860215053763
 Saint Martin ,12324,63, North America ,19561.904761904763
 Vanuatu ,12019,14, Australia/Oceania ,85850.0
 Greenland ,11971,21, North America ,57004.7619047619
 Yemen ,11945,2159, Asia ,553.2654006484483
 Caribbean Netherlands ,11682,38, North America ,30742.105263157897
 Sint Maarten ,11051,92, North America ,12011.95652173913
 Eritrea ,10189,103, Africa ,9892.233009708738
 Niger ,9931,312, Africa ,3183.0128205128203
 St. Vincent &amp; Grenadines ,9674,124, North America ,7801.612903225807
 Guinea-Bissau ,9614,177, Africa ,5431.6384180790965
 Comoros ,9109,161, Africa ,5657.76397515528
 Antigua and Barbuda ,9106,146, North America ,6236.986301369862
 Liberia ,8090,295, Africa ,2742.3728813559323
 Sierra Leone ,7779,126, Africa ,6173.809523809524
 Chad ,7701,194, Africa ,3969.5876288659797
 British Virgin Islands ,7392,64, North America ,11550.0
 Cook Islands ,7203,2, Australia/Oceania ,360150.0
 Sao Tome &amp; Principe ,6778,80, Africa ,8472.5
 Turks and Caicos ,6752,40, North America ,16880.0
 Saint Kitts &amp; Nevis ,6607,48, North America ,13764.583333333334
 Palau ,6290,10, Australia/Oceania ,62900.0
 Saint Barthelemy ,5507,6, North America ,91783.33333333334
 Nauru ,5393,1, Australia/Oceania ,539300.0
 Kiribati ,5085,24, Australia/Oceania ,21187.5
 Anguilla ,3904,12, North America ,32533.333333333332
 Wallis &amp; Futuna ,3550,8, Australia/Oceania ,44375.0
 Saint Pierre &amp; Miquelon ,3452,2, North America ,172600.0
 Tuvalu ,2943,1, Australia/Oceania ,294300.0
 Saint Helena ,2166,0, Africa ,0.0
 Falkland Islands ,1930,0, South America ,0.0
 Montserrat ,1403,8, North America ,17537.5
 Niue ,1059,0, Australia/Oceania ,0.0
 Tokelau ,80,0, Australia/Oceania ,0.0
 Holy See ,29,0, Europe ,0.0
 Western Sahara ,10,1, Africa ,1000.0
 MS Zaandam ,9,2,no region,450.0
